sanskrit|english|hindi
विद्वत्समवायः अस्तीति वः दृष्ट्वा अनुभूयते।|Upon seeing you all, it feels like a gathering of scholars.|तुम सबको देखकर विद्वत्सभा होने का आभास होता है।
मम सहचरो भव।|Be my companion.|मेरा साथी बनो।
विशेषणानि द्विविधानि भवन्ति।|Adjectives are of two kinds.|विशेषण दो प्रकार के होते हैं।
सः नियमः नात्र अन्वेति।|That rule does not apply here.|वह नियम यहाँ लागू नहीं होता।
के शब्दाः सङ्ख्यावाचकाः सन्ति।|Which words are number-words?|कौन से शब्द संख्यावाचक हैं। 
सत्यस्य बाधः न क्वापि भवति।|Truth is never opposed.|सत्य का कभी खंडन नहीं होता।
कस्मिन् गणे अन्तर्भवति एषः धातुः।|To which gana does this verb-root belong?|यह धातु किस गण में आती है। 
रामकथां श्रुत्वा सा सन्तुष्यति।|She feels satisfied and happy after listening to the story of Ramaa.|रामकथा सुनकर वह संतुष्ट होती है।
समाचक्ष्व स्वकुलपरिचयम्।|Tell your family background.|अपने कुल का परिचय दो।
सान्त्वं वचनम् अवदत् सः।|He spoke soothing words.|उसने सांत्वनादायक शब्द कहे।
पाणिभ्यां नेत्रे विमृज्य|Wiping the eyes with hands|हाँथों से आँखों को पोंछकर
हे कर्ण। ऋते अर्जुनात् एषा शक्तिः अन्यस्य न मोक्तव्या।|O Karna. Do not unleash this power on anyone except Arjuna.|हे कर्ण। अर्जुन को छोड़कर यह शक्ति दूसरे पर नहीं छोड़ना।
अविज्ञाते परे तत्त्वे शास्त्राधीतिस्तु निष्फला।|The supreme essence being unknown, the study of scriptures is fruitless.|परम तत्त्व को न जान पाने पर शास्त्रों का अध्ययन निष्फल है।
विज्ञातेऽपि परे तत्त्वे शास्त्राधीतिस्तु निष्फला॥|Even the supreme essence being known, the study of scriptures is fruitless.|परम तत्त्व के जान लेने पर भी शास्त्रों का अध्ययन निष्फल है।
उच्छृङ्खलो विधिः अयाचितः सुखं दत्ते ददाति याचितश्च न यच्छति ददाति अपि च नृणां जनानां सर्वस्वं हरते।|The perverse destiny, unasked, gives happiness; and asked, it does not give and even takes away everything of the people.|निरङ्कुश नियति बिना माँगी गयी, सुख देती है और माँगी गयी भी सुख नहीं देती है और तो लोगों का सबकुछ भी ले जाती है।
अधीनस्थस्य दमनार्थं नाचर।|Do not act to oppress the subordinate.|अधीन व्यक्ति के दमन के लिए आचरण मत करो।
तव वासार्थं न कल्पितम् एतत्।|This was not made for your dwelling.|यह तुम्हारे वास के लिए नहीं बनाया गया था।
निजार्थं कथमपि सर्वे साधयन्ति एव।|Indeed everyone somehow accomplishes one's personal goals.|सभी लोग कैसे भी अपना स्वार्थ साध ही लेते हैं।
मानार्थं तु मृत्युः अपि स्वीक्रियते।|For honor, even death is accepted.|सम्मान के लिए तो मृत्यु भी स्वीकार की जाती है।
ईशदर्शनार्थं यामि।|I am going for Eeshwara-darshan.|मैं भगवान के दर्शन के लिए जा रहा हूँ।
पराहितार्थम् इदं धनम्।|This money is for the welfare of others.|यह धन दूसरों के हित के लिए है।
वानर्या सवनार्थं चितम् इदं स्थानम्।|This place was selected by the female monkey to give birth.|यह स्थान वानरी के द्वारा जन्म देने के लिए चुना गया।
