Hindi|English|Sanskrit
मटका फोड़े|Break the pot|घटं भिन्द्यात्
कपड़े फाड़े (या)|tear the clothes or|पटं छिन्द्यात् (वा)
गधे की सवारी करे|ride (mount) a donkey|रासभस्य आरोहणं कुर्यात्
चाहे जैसे भी हो बस व्यक्ति प्रसिद्ध हो जाये।|by hook or by crook, person may (should) become famous|येन केन प्रकारेण पुरुषः प्रसिद्धः भवेत्।
सभी सदस्यों को संस्कृत संवादः के ३००० सदस्य पूरे होने पर अनेकों शुभकामनाएँ।|Congratulations everyone for achievement of 3000 members in @samvadah.|सर्वेभ्यः सदस्येभ्यः संस्कृतसंवादस्य त्रयाणां सहस्राणां सदस्यानां सङ्गस्य नैकाः शुभकामनाः।
आशा करते हैं हमारी एकता और अधिक दृढ़ और विस्तृत हो।|May Our unity be more firm and extensive.|आशास्महे अस्माकम् ऐक्यं दृढतरं विस्तृततरं च भवेत्।

एक भिखारी रोज एक दरवाजे पर जाता और भीख के लिए आवाज लगाता और जब घर मालिक बाहर आता तो उसे गंदी गंदी गालिया और ताने देता।|A beggar would go to a door every day and call for alms, and when the owner of the house came out, he would abuse and taunt him.|एकः भिक्षुकः प्रतिदिनं द्वारं गत्वा भिक्षाटनार्थं उद्घोषयति स्म तथा च यदा गृहस्वामी बहिः आगच्छति स्म, तदा स तस्मिन् अश्लीलशब्दानां वृष्टि: कुर्वन् तस्योपहासं करोति स्म।
मर जाओ। काम क्यूं नही करतें? जीवन भर भीख मांगतें रहोगे?|Die. Why don't you work? Will you keep begging for the rest of your life?|मृतो भव। किञ्चित् कार्यं किमर्थं न करोषि?आजीवनं भिक्षायाचनं करिष्यसि?
कभी कभी गुस्सें में उसे धकेल भी देता, पर भिखारी बस इतना ही कहता - "ईश्वर तुम्हारें पापों को क्षमा करें।"|Sometimes he would even push him away in anger, but the beggar would just say - "May God forgive your sins."|कदाचित् क्रोधितो भूत्वा स तं धक्कयति स्म, किन्तु भिक्षुकः केवलमेतदेव वदति स्म - "ईश्वर: तव कुकर्माणि क्षंसीष्ट।"
एक दिन सेठ बड़े गुस्सें में था।|One day Seth was very angry.|एकदा श्रेष्ठी अतीव क्रुद्ध: आसीत्।
शायद व्यापार में घाटा हुआ था।|Perhaps business loss may occur.|कदाचित् व्यापारे हानिः अभवत्।
वह भिखारी उसी वक्त भीख मांगने आ गया।|That beggar came to beg at that very moment.|सः भिक्षुकः तस्मिन् एव क्षणे याचनाय आगतः।
सेठ ने आव देखा ना ताव और सीधा उसे पत्थर से दे मारा।|Seth saw him coming and directly hit him with a stone.|श्रेष्ठी अविचार्यैव साक्षात् तं प्रस्तरेण प्रहृतवान्।
भिखारी के सर से खून बहने लगा।|Bleeding started flowing from the beggar's head.|भिक्षुकस्य शिरसा रक्तस्रावं प्रारब्धम्।
फिर भी उसने सेठ से कहा- "ईश्वर तुम्हारें पापों को क्षमा करें" और यह कहकर वहां से चल दिया।|Still he said to Seth - "May God forgive your sins" and saying this he left from there.|तथापि स श्रेष्ठिनम् उक्तवान् - "ईश्वरः तव कुकर्माणि क्षंसीष्ट" इति वदन् ततः प्रस्थितवान्।
सेठ का थोड़ा गुस्सा कम हुआ तो वह सोचने लगा मैंने उसे पत्थर से भी मारा पर उसने दुआ ही दी।|When Seth's anger subsided a little, he started thinking that I even hit him with a stone but he only prayed.|श्रेष्ठिन: क्रोधः किञ्चित् शान्तः अभवत्, अतः सः चिन्तयितुं आरब्धवान् यत् अहम् अपि तं शिलया प्रहृतवान्, परन्तु सः केवलं मम कृते प्रार्थनामेव कृतवान्।
इसके पीछे क्या रहस्य है? अवश्य ही जानने का प्रयास करना चाहिए।|What is the secret behind this? Must try to know.|अस्य पृष्ठतः किं रहस्यम्? अवश्यं ज्ञातुं प्रयत्नः करणीयः।
