Sanskrit|English|Hindi
अहं‌ त्वां बहु मन्ये।|I respect you a lot.|मैं तुम्हें बहुत मानता हूँ
मूलं भुजङ्गैः शिखरं विहङ्गैः शाखाः प्लवङ्गैः कुसुमानि भृङ्गैः।|Serpents remain wrapped around the roots, birds rest on the summit, monkeys swing on the branches and bee hover over the flowers.|जड में सर्प लिपटे रहते हैं, शिखर पर पक्षी विश्राम करते हैं, शाखा पर वानर झूलते हैं और फूलों पर भ्रमर मंडराते हैं।
आश्चर्यमेतत् खलु चन्दनस्य परोपकाराय सतां विभूतयः।|It is really surprising that the charity of the sandalwood tree is the property of the gentlemen.|यह सचमुच आश्चर्यजनक है कि चन्दन वृक्ष का परोपकार सज्जनों की सम्पत्ति होती है।
प्रियः भवति दानेन प्रियवादेन च अपरः मन्त्र-मूल-बलेन अन्यः कुछ अन्य मन्त्रबल से प्रिय बनते हैं।|Some people become loved by giving gifts, while others become loved by pleasant words.|कुछ लोग उपहार देने पर प्रिय बनते हैं, जबकि कुछ मनोहर बातों से।
यः प्रियः प्रियः एव सः।|Those who are dear to you are dear to you.|जिन्हें आप प्रिय हैं वो आपके प्रिय ही है।
वयं च शक्ति-सम्पन्नाः अकाले त्वाम् अधृष्णुम।|We are all powerful, we have crushed you even at an untimely time.|हम सभी शक्ति सम्पन्न हैं, असमय में भी तुम्हे कुचले हैं।
अशक्ताः हि रणे क्रूर युष्मान् अर्चन्ति मानवाः।|Oh cruel one! Only such weak men who are incapable of fighting fight worship you.|अरे क्रूर! जो युद्ध करने में असमर्थ हैं ऐसे दुर्बल मनुष्य ही तुम लोगों की पूजा करता हैं।
ये धर्मविरुद्धं गच्छन्ति ते नष्टाः भवन्ति।|Dharma retaliates against those who try to harm it|जो धर्म के विरुद्ध जाते हैं नष्ट हो जाते हैं।
ये धर्मरक्षणं कुर्वन्ति ते स्वयमेव रक्षिताः भवन्ति।|Dharma protects those who safeguard it.|जो धर्म का रक्षण करते हैं सुरक्षित हो जाते हैं।
अतः धर्मः सर्वदा पालनीयः न तु निरादरणीयः।|Hence, it’s crucial to uphold Dharma, as its violation may lead to destruction.|अतः धर्म का सर्वदा पालन करना है न कि निरादर।
न कश्चित् कस्यचित् मित्रम्।|Nobody is nobody's friend.|न कोइ किसी का मित्र है।
न कश्चित् कस्यचित् रिपुः।|Nobody is nobody's enemy.|न कोइ किसी का शत्रु है।
अर्थतः तु निबध्यन्ते मित्राणि रिपवः तथा।|Money decides who are enemies and who arefriends.|अर्थ से सिद्ध होते हैं मित्र तथा शत्रु।
बहिर्गमने विद्या गृहे भार्या रोगिणः कृते औषधं तथा धर्मः मरणकाले मित्रं भवति।|Outside education is the friend, wife is the friend at home, medicine is the friend for the sick, dharma is the friend on the deathbed.|यात्रा में ज्ञान सच्चा मित्र, घर में पत्नी सच्ची मित्र, रोग में औषधी तथा मृत्यु के समय धर्म मनुष्य का सबसे बड़ा मित्र होता है।
शैले शैले न माणिक्यम्।|Not every stone is found in ruby.|प्रत्यके पत्थर माणिक में नहीं मिलता।
मौक्तिकं न गजे गजे।|Pearls are not found in every elephant.|हर हाथी में मुक्ता नहीं मिलता।
साधवः न हि सर्वत्र।|Sadhus are not found everywhere.|सब जगहों पर साधु नहीं मिलते।
चन्दनं न वने वने।|Sandalwood is not found in every forest.|वन वन में चन्दन नहीं मिलता।
कामानां भोगेन न कदापि तृप्तिः अथवा पूर्णता भवति।|Man's desire is not satisfied even by enjoying pleasures as per desires.|मनुष्य की इच्छा, कामनाओं के अनुरूप सुखभोग से भी तृप्त नहीं होती है।
अपितु यथा अग्नौ घृतस्य निक्षेपणेन तस्य वृद्धिः एव भवति तथैव कामासक्त्याः।|Instead, it starts growing in a way that a fire becomes brighter when fuel is added to it.|अपितु वह तो इस प्रकार बढ़ने लगती है, जैसे अग्नि इंधन डालने पर और प्रज्जवलित हो उठती है।
