Hindi|English|Sanskrit
हिमाचली बेटे अजय ठाकुर को मिला पद्मश्री पुरस्कार ,राष्ट्रपति ने किया सम्मानित।|Himachali son Ajay Thakur received Padmashree award, honored by the President.|हिमाचलपुत्रेण अजयठाकुरेण पद्मश्रीपुरस्कार: प्राप्त:,राष्ट्रपतिमहोदयेन सम्मानितम्।
भारतीय कबड्डी टीम के कप्तान अजय ठाकुर का जन्म 1 मई सन 1986 में हिमाचल प्रदेश के नालागढ़ जिले के दभोटा गांव में हुआ था।|Indian Kabaddi team captain Ajay Thakur was born on 1 May 1986 in Dabhota village of Nalagarh district of Himachal Pradesh.|भारतीयकर्पदीदलस्य क्रीडानायकस्य अजय ठाकुरस्य जन्म षडाशीत्याधिकेकोनविंशतिशततमवर्षस्य मई मासस्य प्रथमदिनाङ्के हिमाचलप्रदेशस्य नालागढ़जनपदस्य दभोटाग्रामे अभवत्।
साल 2016 में हुए अजय ठाकुर विश्वकप कबड्डी के फाइनल में शानदार प्रदर्शन कर विशेष प्रसिद्ध हुए।|Ajay Thakur became especially famous by his brilliant performance in the final of the World Cup Kabaddi in the year 2016.|षोडशाधिकविंशतिशततमवर्षस्य विश्वस्पर्द्धा-कर्पदीक्रीडायाः अन्तिमक्रीडायां तेजस्वीं प्रदर्शनं कृत्वा अजय ठाकुरो विशेषतया प्रसिद्धः अभवत्।
अजय ठाकुर के बेहतरीन पारी के कारण ही भारत ने यह टुर्नामेंट पहले हाफ में ईरान से पिछड़ने के बावजूद जीत गया।|Due to the excellent innings of Ajay Thakur, India won this tournament despite lagging behind Iran in the first half.|अजय ठाकुरस्य उत्तमप्रदर्शनकारणादेव भारतम् एनां स्पर्धां प्रथमार्धे ईरानात् पृष्ठतो भूत्वा अपि विजयं प्राप्तवान्।
कबड्डी विश्वकप में सबसे ज्यादा रेड प्वाइंट हासिल करने के लिए उन्हें रेडर ऑफ द टुर्नामेंट चुना गया।|He was adjudged Raider of the Tournament for scoring the most raid points in the Kabaddi World Cup.|कर्पदीविश्वस्पर्धाक्रीडायां सर्वाधिकं रेड-अङ्कान् प्राप्तवान् इति कारणेन सः रेडर आफ द टूर्नामेण्ट इति निर्णीतः।
फाइनल मुकाबले में अजय ठाकुर ने 12 रेड प्वाइंट और पूरे मैच में कुल 68 रेड प्वाइंट हासिल किए थे।|Ajay Thakur had scored 12 raid points in the final match and a total of 68 raid points in the entire match.|अन्तिमस्पर्धायाम् अजय ठाकुर: द्वादश रेड-अङ्कान् तथा पूर्णस्पर्धायां कुलं अष्टषष्टि: रेड-अङ्कान् प्राप्तवान्।
इससे पहले इंचियोन में साल 2014 में हुए एशियाई खेलों में भारत को गोल्ड मेडल दिलाने में अजय ठाकुर की भूमिका महत्त्वपूर्ण रही थी।|Earlier, Ajay Thakur had played an important role in India winning the gold medal in the 2014 Asian Games in Incheon.|अस्मात् पूर्वं चतुर्दशाधिकविंशतिशततमवर्षस्य इन्चियोननगरे एशियाक्रीडायां भारताय स्वर्णपदकं दापयितुं अजय ठाकुरस्य भूमिका महत्त्वपूर्णा आसीत्।
पिछले चौदह वर्षों से अजय ठाकुर भारत के लिए कबड्डी खेल रहे है और कबड्डी उनके लिए एक खेल ही नहीं ,बल्कि जुनून है।|Ajay Thakur has been playing Kabaddi for India for the last fourteen years and for him Kabaddi is not just a game but a passion.|अजय ठाकुरः विगतचतुर्दशवर्षेभ्यः भारतस्य कृते कर्पदीं क्रीडति तथा च कबड्डी तस्य कृते क्रीडैव न, अपितु अनुरागोऽस्ति।
यही वजह है कि साल 2014 के प्रो कबड्डी लीग में टायफायड और तेज बुखार से पीड़ित होने के बावजूद अजय ठाकुर टीम के लिए खेलते रहे।|This is the reason why Ajay Thakur continued playing for the team despite suffering from typhoid and high fever in the 2014 Pro Kabaddi League.|एतदेव कारणं यत् चतुर्दशाधिकविंशतिशततमवर्षस्य प्रो-कर्पदी-लीग-क्रीडायां सन्निपातज्वररोगेण उच्चज्वररोगेण च पीडितः सन् अपि अजय-ठाकुरः दलस्य कृते क्रीडति स्म।
जो कुछ तीनों लोकों में प्रतिष्ठित है,|Which is well-established in the three realms,|त्रिदिवे यत् प्रतिष्ठितम्,
