Sanskrit|English|Hindi
एतावन्ति तु मम उद्याने शुष्कपत्राणि अपि न सन्ति।|I don't even have so many dry leaves in my garden.|मेरे बगीचे में इतनी सूखी पत्तियाँ भी नहीं हैं।
नाना जगन्नाथः शङ्करश्रेष्ठः सुमहान् शिक्षाविद् आसीत्।|Nana Jagannath Shankarashrestha was a great educationist.|नाना जगन्नाथ शंकर श्रेष्ठ महान् शिक्षाविद् थे।
महाराष्ट्रराज्यस्थे मुम्बईमहानगरे प्रथमः बालिकाविद्यालयः अनेन एव संस्थापितः आसीत्।|He was the founder of the first girls' school in Mumbai, Maharashtra.|वह मुंबई, महाराष्ट्र में पहले कन्या विद्यालय के संस्थापक थे।
नाना जगन्नाथवर्यः संस्कृतभाषायाः भारतीय-संस्कृतेः च प्रचाराय प्रसाराय अपि अनेकान् प्रयासान् कृतवान्।|Mr. Nana Jagannath also made many efforts for the promotion and dissemination of Sanskrit language and Indian culture.|श्री नाना जगन्नाथ ने संस्कृत भाषा एवं भारतीय संस्कृति के प्रचार एवं प्रसार के लिए भी अनेक प्रयास किये।
संस्कृतक्षेत्रे विविधपरीक्षासु प्राविण्यं स्थानं प्राप्नुवद्भ्यः छात्रेभ्यः सः छात्रवृत्तिं प्रदाय सर्वदा तान् प्रोत्साहयति स्म।|He always encouraged the students who achieved proficiency in various examinations in the field of Sanskrit by giving them scholarships.|संस्कृत के क्षेत्र में विभिन्न परीक्षाओं में दक्षता प्राप्त करने वाले विद्यार्थियों को वे सदैव छात्रवृत्ति देकर प्रोत्साहित करते थे।
राज्ञा कदापि शत्रौ दया न दर्शितव्या न च सः मोक्तव्यः करोतु।|The enemy should never be released by the king.|राजा द्वारा शत्रु को कभी भी मुक्त नहीं किया जाना चाहिए।
नाम सः कियन्तमपि विलापं तस्य मारणमेव एकमुपायं वर्तते।|Even if he wails, the king should not spare the enemy and kill him.|भले ही वह विलाप करे, राजा को शत्रु पर दया नहीं करनी चाहिए और उसे मार डालना चाहिए।
माता सीतया सह माता गार्गी इयं अद्भुतः संवादः।|This is a wonderful dialogue between Mother Sita and Mother Gargi.|यह माता सीता और माता गार्गी के बीच का अद्भुत संवाद है।
मानवीयमूल्यैः, नीतिशास्त्रैः, विचारधारया च सह अस्माकं सभ्यता कियती समृद्धा अस्ति।|How rich our civilization is with human values, ethics and ideology.|हमारी सभ्यता मानवीय मूल्यों, नैतिकता और विचारधारा से कितनी समृद्ध है।
वार्तालापः अस्ति पतिपत्न्योः - पतिः कदापि स्वपत्न्याः विनोदं कर्तुं न विफलः भवति - परन्तु पत्नी तु पत्नी अस्ति। सम्यक् रुपेण प्रत्युत्तरं ददाति।|Conversation between a husband and wife - the husband never fails to have fun with his wife - but the wife is the wife. He responds correctly.|बातचीत एक पति-पत्नी के बीच - पति अपनी पत्नी के साथ मौज-मस्ती करने से कभी नहीं चूकते - लेकिन पत्नी तो पत्नी होती है। वह सही उत्तर देता है।
वार्तालापः अस्ति पतिपत्न्योः - पतिः कदापि स्वपत्न्याः विनोदं कर्तुं न विफलः भवति - परन्तु पत्नी तु पत्नी अस्ति। सम्यक् रुपेण प्रत्युत्तरं ददाति।|Conversation between a husband and wife - the husband never fails to have fun with his wife - but the wife is the wife. He responds correctly.|बातचीत एक पति-पत्नी के बीच - पति अपनी पत्नी के साथ मौज-मस्ती करने से कभी नहीं चूकते - लेकिन पत्नी तो पत्नी होती है। वह सही उत्तर देता है।
पत्नी - भवान् कदापि मानसिकचिकित्सालयं दृष्टवान् किम्?|Wife: Have you ever seen a mental hospital?|पत्नी - क्या तुमने कभी मानसिक अस्पताल देखा है?
पतिः - आम्, यदा अहं विवाहयात्रायां त्वया सह गतवान् तदा।|Husband: Yes, when I went with you on the honeymoon.|पति - हाँ, जब मैं तुम्हारे साथ तुम्हारी शादी की यात्रा पर गया था।
पत्नी अपि वदति यत् - सत्यं अस्ति। भवान् तु एकदा आगतवान्, अहं तु प्रतिदिनम् एव पश्यामि।|The wife also says: - It is true. You came once, but I see every day.|पत्नी भी कहती है - यह सच है। आप एक बार आए, लेकिन मैं तुम्हें हर दिन देखता हूं।
(तृतीयः खण्डः)
धर्मराजः यमः राक्षसानां महानादं श्रुत्वा शत्रुं विजयिनं स्वबलस्य च क्षयं मत्वा क्रोधसंरक्तलोचनः अभवत्।|Yama, the king of righteousness, heard the loud roar of the demons and his eyes turned red with anger, thinking the enemy victorious and his enemy winning strength depleted.|धर्म के राजा यम ने राक्षसों की तीव्र गर्जना सुनी और शत्रु को विजयी तथा अपनी शक्ति क्षीण समझकर क्रोध से उनकी आंखें लाल हो गईं।
ततः सः यमराजः सारथिम् अब्रवीत् शीघ्रं मम रथम् उपस्थापय।|Then the king of Yama said to the charioteer 'Bring my chariot quickly'|तब यमराज ने सारथी से कहा 'शीघ्र मेरा रथ लाओ।'
तस्य सारथिः तदा तूर्णं रथम् उपस्थाप्य तस्मिन् रथे सः महातेजाः सारथिः स्थितः अभवत्।|His charioteer then quickly brought the chariot forward and the mighty charioteer stood in it.|तब उसका सारथी शीघ्रता से रथ को आगे ले आया और वह शक्तिशाली सारथी उसमें खड़ा हो गया।
तदानीं पार्श्वस्थः कालदण्डः मूर्तिमान् अभवत्।|Then the scepter of death on the side attained material form.|तब पार्श्व में मृत्यु के राजदंड ने भौतिक रूप प्राप्त कर लिया।
दिव्यं यमप्रहरणं तदा तेजसा अग्निवद् ज्वलति स्म।|The divine weapon of Yama then blazed like fire with brilliance.|तब यम का दिव्य अस्त्र तेज से अग्नि के समान चमकने लगा।
ततः यमरथस्य हरिहयोपमाः मनसस्तुल्याः अश्वाः मुहूर्तेन यत्र रणं प्रस्तुतं तत्र यमं प्रापयन्।|Then the horses of Yama's chariot, which were like the horses of Hari, took Yama with the speed of thought where the battle was presented.|तब यम के रथ के घोड़े, जो हरि के घोड़ों के समान थे, विचार की गति से यम को वहाँ ले गये जहाँ युद्ध प्रस्तुत था।
मृत्युसमन्वितं तं विकृतं रथं दृष्ट्वा राक्षसराजस्य भयार्दिताः सचिवाः वयं योद्धुं समर्थाः न स्मः इत्युक्त्वा पलायन्त।|Seeing the frightful chariot in that aspect with Death present in it, the ministers of the Raksasa monarch ran away saying we are incapable of fighting.|जिसमें मृत्यु उपस्थित थी उस भयानक रथ को देखकर राक्षस राजा के मंत्री यह कहकर भाग गये कि हम युद्ध करने में असमर्थ हैं।
परन्तु तादृशं विकृतं रथं दृष्ट्वा राक्षसः रावणः न अक्षोभत न च भयं प्राविशत्।|But seeing such a terrible chariot the demon Ravana was neither disturbed nor frightened.|परंतु ऐसे विकृत रथ को देखकर राक्षस रावण न तो विचलित हुआ और न ही भयभीत हुआ।
तदानीं यमराजः रावणम् आसाद्य शक्तितोमरान् विसृज्य रावणस्य मर्मस्थानानि अविध्यत्।|Then Yama reached Ravana and released his powerful spears and pierced him in the heart.|तब यम रावण के पास पहुंचे और अपने शक्तिशाली भाले छोड़े और उसके हृदय में छेद कर दिया।
