Sanskrit|English|Hindi
वामाक्षि लघु वर्तते।|The left eye is small.|बायां नेत्र छोटा है।
परम्परानुकूला स्यात् प्रगतिः।|Progress should be in accordance with the tradition.|प्रगति परंपरा के अनुकूल होनी चाहिए।
हे हर हार्यान् हर।|Hey! Hari, take away the burdens.|हे हर कष्टों को हर लो।
दण्डेन दण्ड्यान् दण्डय।|Punish the guilty with the staff.|दण्ड से दोषियों को दण्डित करो।
नृपश्रेष्ठः दशरथः योद्धुं याति।|The distinguished king Dasharatha goes to fight.|श्रेष्ठ राजा दशरथ युद्ध करने जाता है।
पुत्रज्ञानाय पितापि पठति।|Father also studies for the sake of son’s knowledge.|पुत्र के ज्ञान के लिए पिता भी अध्ययन करता है।
सर्वविद्याश्रयस्थानं भवति गुरुः।|Teacher is the abode of all knowledge.|गुरु समस्त विद्याओं का आश्रय स्थल होता है।
तत्समा क्रीडिका कापि नास्ति।|There is no player equal to her.|उसके समान कोई क्रीडिका नहीं है।
मामकाः बान्धवाः के एषु।|Who among these are my relatives?|इनमें से मेरे बंधु कौन हैं। 
कोऽब्रवीद् यन्नागच्छेयमहम्।|Who said that I may not come?|किसने कहा कि मैं नहीं आऊँगा। 
तस्याः न्यायशास्त्रे अगाधं पाण्डित्यमस्ति।|She has profound erudition in the science of justice.|उसका गहन पाण्डित्य है न्यायशास्त्र में।
विवादानुगतं प्राड्विवाकः निर्णयं गदति।|The judge spells out the verdict ensuing debate.|विवाद के अनुसार न्यायाधीश निर्णय सुनाता है।
अधिमञ्चं विराजमानेभ्यो नमः।|Salutations to those seated on the elevated stage.|मञ्च पर विराजमान व्यक्तियों को प्रणाम।
नानादिग्भ्यः समागतानां स्वागतम्।|Welcome to those who have gathered from various directions.| विभिन्न दिशाओं से आए लोगों का स्वागत है।
विहगावलोकनं करोति मन्त्री प्रदर्शन्याः।|The minister takes a bird's-eye view of the exhibition.|मंत्री प्रदर्शनी का विहंगम अवलोकन करता है।
व्यासोच्छिष्टं जगत् त्रयम्।|In these three worlds (Bhooloka, Adholoka, Urdhwaloka) there is nothing that was unknown to Vyasa.|व्यास के द्वारा तीनों लोकों का ज्ञान उच्छिष्ट है। 
आह्लादितेन तेन माता प्रणमिता।|The mother was saluted to by that delighted person.|आह्लादित उसके द्वारा माता को प्रणाम किया गया।
जगति विख्यातः श्रीकृष्णार्जुनयोः संवादः।|The dialogue between Shri Krishna and Arjuna is worldfamous.|श्रीकृष्ण और अर्जुन का संवाद जगत में प्रसिद्ध है।
हेयदृष्ट्या न पश्य माम्।|Do not look at me with loathful eyes.|मुझे तिरस्कार की दृष्टि से मत देखो।
