Sanskrit|English|Hindi
महाकाल उज्जयिनीनगरे प्रतिष्ठितः।|Mahakala is established in the city of Ujjain.|महाकाल उज्जैन नगर में प्रतिष्ठित हैं।
अद्य मम भगिन्या वाग्दानम् अभूत्।|Today, my sister was engaged.|आज मेरी बहन की मँगनी हुई।  
तेषां हृत्सु लज्जैव नास्ति।|There is no shame in their hearts.|उनके हृदय में लज्जा है ही नहीं।  
अयं बालकः किं कर्तुं प्रयतते।|What is this child trying to do?|यह बच्चा क्या करने का यत्न करता है?  
वायुप्रदूषणं सर्वाधिकं प्राणघातकम्।|Air pollution is the most life-threatening.|वायु प्रदूषण सबसे अधिक जानलेवा है।  
तत् पक्षी तृणं मृगयते।|That bird is searching for straw.|वह पंछी तिनका ढूँढता है।  
अयं मृगो मम नास्ति।|This animal is not mine.|यह पशु मेरा नहीं है।  
ज्ञानरूपिणं हस्तिनम् आरोहेत।|(You all) ought to ascend the elephant of wisdom.|(आपलोग) ज्ञानरूपी हाथी चढिए।
किं वङ्गजा मूलकर्म कुर्वन्ति।|Do the Bengalis perform black magic?|बंगाली लोग टोना-टोटका करते हैं क्या।
राजकुमारं यो हासयेत् स धनवान् भवेत्।|Whoever makes the prince laugh will become wealthy.|जो राजकुमार को हंसाएगा, वह धनवान हो जायेगा।
जनाः सभागारं गच्छन्ति।|People go to the assembly hall.|लोग सभा भवन जाते हैं।  
मधुवने का नृत्यति।|Who dances in Madhuvana?|मधुवन में कौन नाचती है।
पितृव्या पुण्यनगरे वसति स्म।|My Aunt (paternal) used to live in Pune.|मेरी चाची पुणे में रहती थी।
भगवन् किं नरके बहुजनसम्मर्दो वर्तते।|O Lord, is there much crowd in hell?| हे भगवन्, क्या नरक में बहुत भीड़ चल रहा है?  
अत्रागत्य वद अम्ब।|Come here and speak, Mom!|यहाँ आकर बोलो, माँ।
तव हि गीतं शृणोमि केवलम्।|I only hear your song.|मैं केवल तुम्हारा गीत सुनता हूँ।  
प्रतिदिनं दुःखानि एव वर्द्धन्ते मम।|Only my sorrows are increasing day by day.|मेरे दुःख ही बढ़ते जाते हैं प्रतिदिन।  
मम पितामहस्य चित्रम् अधोमुखं केन कृतम्।|Who has made my grandfathers picture upside down?|मेरे दादाजी की तस्वीर को उल्टा किसने कर दिया?  
माखनलालो हिन्दीकविरासीत्।|Makhanlal was a Hindi poet.|माखनलाल एक हिंदी कवि थे।  
