Sanskrit|English|Hindi
सागर इव गहनो यस्या नेत्रम्।|Whose eye is deep like the ocean.|जिसकी आँख सागर जैसी गहरी है।
करे दीपं धृत्वा चलति वृद्धा।|Holding a lamp in the hand, the old woman walks.|हाथ में दीपक धारण कर बुढ़िया चलती है।
वणिग् उच्चैः वदति।|The merchant speaks loudly.|व्यापारी ऊँचे स्वर में बोलता है।
परश्वः ते कार्य्यम् अवश्यं कर्तास्मि।|I will definitely do your work overmorrow.|परसों मैं तुम्हारा कार्य अवश्य करूँगा।
प्रभापुञ्जे आकृतिर्दृश्यते।|A shape is seen in the mass of light.|प्रकाशपुंज में आकृति दिखती है।
भवः अर्ज्जुनाय पाशुपतास्त्रं ददौ।|Bhava (Shiva) had given the Pashupatastra to Arjuna.|भव (शिवजी) ने अर्जुन को पाशुपतास्त्र दिया था।
अहं भागिनेयीं द्रष्टुं गच्छामि।|I am going to see the niece.|मैं भाँजी को देखने जाता हूँ।
मरुस्थले कथं पुष्पम् इव सा शोभते।|How she shines like a flower in the desert!|मरुस्थल में वह फूल की भांति कैसे शोभती है।
सदा तव दर्शनाभिलाषी मम पुत्त्रः।|My son is always desirous of seeing you.|मेरा बेटा सदा तुम्हारे दर्शन का अभिलाषी है।
सिंहस्य मुखे रक्तं लिप्तम्।|Blood is smeared on the lion's mouth.|सिंह के मुख पर रक्त लगा है।
मीरायाः प्रभुः गिरिधरो नागरः।|Meera's lord is the mountain-lifter (Krishna), the urban (civilised) one.|मीरा के प्रभु नागरिक (सभ्य) गोवर्धनधारी (कृष्ण) हैं।
कलौ धनम् अनुधावन्ति स्त्रियोऽपि।|In the age of Kali, even women run after wealth.|कलियुग में स्त्रियाँ भी धन के पीछे दौड़ती हैं।
गोमांसं भक्ष्यतामिति मोहनस्य निर्देशः।|"Let beef be eaten," is Mohana's instruction.|"गोमांस खाया जाए," यह मोहन का निर्देश है।
कार्य्योऽयं न सुकरः स्वामिन्।|This task to be done is not easy, O Master.|यह कार्य सरल नहीं है स्वामी।
कर्तुर्हस्ते कर्म्मसाधनं दीयताम्।|Let the tool of action be given into the doer's hand.|कर्ता के हाथ में कार्य का साधन दिया जाए।
शशस्य पुत्रौ मम हस्ते स्तः।|The rabbit's two sons are in my hand.|शश के दो पुत्र मेरे हाथ में हैं।
पश्य स्वकालं मानवदेहम् उपास्थितम्।|See your own death approached in human form.|अपने काल को मानव देह में पास आया देखो।
न तद्बलम् आर्य्येषु येन पीड्यते साधुः।|That strength is not in the noble ones (Aryas) by which a saint is tormented.|आर्यों में वह बल नहीं है जिससे अच्छे व्यक्ति को पीड़ित किया जाये।
यथेच्छं वृणीष्व देवि यमपि इच्छसि।|Choose as you wish, O lady, whomever you desire.|हे देवी, अपनी इच्छा अनुसार चुनो जिसे भी तुम चाहती हो।
काश्मीरात् पण्डिता निष्कासिताः।|The Pandits were expelled from Kashmir.|कश्मीर से पंडित निष्कासित किए गए।
तेषां सर्वेषां कार्यम् अहम् एव करोमि।|I alone do the work of all of them.|उन सबका कार्य मैं ही करती हूँ।
कथं भवत्याः सञ्ज्ञा अपर्णा देवि।|How is your name Aparna, O Goddess?|हे देवी, आपकी नाम अपर्णा कैसे है।
सपत्नी नापि तु भगिनी त्वं मे।|Not a co-wife, but indeed you are my sister.|सौतन नहीं बल्कि तुम बहिन हो मेरी।
प्रीताद् मनसो नान्यो विशिष्टः।|Nothing is superior to a pleased mind.|प्रसन्न मन से दूसरा कुछ विशिष्ट नहीं है।
न मम पितुरवमाननं सहे।|I do not tolerate the insult of my father.|मैं अपने पिता का अपमान नहीं सहती।
अत्रेर्नेत्रतः चन्द्र उद्भूतः।|From the eye of Atri, the Moon was born.|अत्रि के आँख से चंद्र का उद्भव हुआ।
न कोकिलां विना उद्यानं शोभते।|Without the female cuckoo, the garden does not look beautiful.|कोयल बिना बगिया नहीं शोभती।
तस्य बाहौ कश्चिद्दोषो वर्तते।|There is some defect in his arm.|उसकी भुजा में कोई दोष है।
अतिगौरवर्णा मे पुत्रवधूर्भवतु।|May my daughter-in-law be of extremely fair complexion.| मेरी बेटे की बहू अत्यंत गोरे रंग की हो।
मया इन्दिरा दुर्गानाम्ना न उपाहूता।|By me, Indira wasn't nicknamed to be Durga.|इंदिरा दुर्गा के नाम से नहीं बुलाई गई मेरे द्वारा।
शिवसागरभोजनालये अस्मि अहम्।|I am in the Shivasagara restaurant.|मैं शिवसागर भोजनालय में हूँ।
एष गीतं गातुमपि न जानाति।|This one does not even know how to sing a song.|यह गीत गाना भी नहीं जानता।
विना कारणं किमर्थं रोदिति एषा युवती।|Why does this young woman cry without reason?|यह युवती बिना कारण किसलिए रोती है।
मनः तस्माद् एव बिभेति यस्मिन् साहसम् आशङ्कते।|The mind fears that very thing in which it suspects boldness.|मन उसी से डरता है जिसमें वह साहस (बिना विचारे कर्म करना) की आशंका करता है।
एतयोर्द्वयोः नाम समानम्।|The name of these two is the same.|इन दोनों का नाम समान है।
मदर्थम् अन्नं पक्तुं नेच्छति माता।|The mother does not wish to cook food for me.|माता मेरे लिए अन्न पकाना नहीं चाहतीं।
जन्मान्तरेऽपि न नश्यति यत् तद्विवाहः।|That which does not perish even in another birth is marriage.|जो दूसरे जन्म में भी नष्ट नहीं होता, वह विवाह है।
पतिः परस्त्रियः केशान् स्पृशति।|The husband touches the hair of another woman.|पति परायी स्त्री के केश छूता है।
इन्द्रः फेनेन नमुचिं जघान।|Indra killed Namuchi with foam.|इंद्र ने फेन से नमुचि को मारा।
केन सर्वम् इदम् उद्भूतम्।|By what has all this originated?|यह सब किससे उत्पन्न हुआ है।
अयं गोपालो न क्षत्त्रियः।|This cowherd is not a Kshatriya.|यह ग्वाला क्षत्रिय नहीं है।
त्वं तु अत्युन्नतः पुरुषः।|You, however, are an extremely high-level man.|तुम तो बहुत बड़े पुरुष हो।
सा केवले शिक्षणे रुचिं विधत्ते।|She places interest only in education.|वह केवल पढ़ने में रुचि रखती है।
स श्मशाने वसति अकिञ्चनः।|He lives in the cremation ground, possessing nothing.|वह कंगाल श्मशान में रहता है।
स मम गृहे कुदृष्टिं धरति।|He holds an evil eye on my house.|वह मेरे घर पर कुदृष्टि रखता है।
वानरो मां दृष्ट्वा हसति।|The monkey laughs having seen me.|बंदर मुझे देखकर हँसता है।
केशवस्य माता पुत्राय वधूम् अन्विच्छति।|Keshava's mother is searching for a bride for the son.|केशव की माँ बेटे के लिए बहू ढूँढ रही है।
जातिधर्मस्य नाशका विनष्टा बहवः।|Many destroyers of Jati-dharma have been destroyed.|जातिधर्म के बहुत से नाशक नष्ट हो गए।
एकाकी एव भक्षयसि किम्।|Are you eating alone only?|क्या अकेले ही खा रहे हो।
हे भगवन् अधुना किं द्रष्टुं शेषम्।|O Lord, now what remains to be seen?|हे भगवान्, अब क्या देखना शेष है।
अधुना सिंह एव न्याय्यं दास्यति।|Now the lion alone will give justice.|अब सिंह ही न्याय देगा।
देव्याः शक्तिः न उपेक्ष्या।|The power of the Devi is not to be undermined.|देवी की शक्ति उपेक्षा करने योग्य नहीं है।
यथा दृश्ये तथा नास्मि।|As I appear, so I am not.|जैसा दिखता हूँ, वैसा नहीं हूँ।
रात्रौ पीताम्बरं धरन्तं कञ्चिद् अहम् अपश्यम्।|At night, I saw someone wearing a yellow garment.|रात में मैंने पीला कपड़ा पहने किसी को देखा।
सा तु अवश्यं त्वां त्यजिष्यति।|She, however, will certainly abandon you.|वह तो अवश्य तुम्हें छोड़ देगी।
पतेरुच्छिष्टे अन्ने मम अधिकारः।|My right is on the leftover food of the husband.|पति के उच्छिष्ट अन्न पर मेरा अधिकार है।
तव माता सत्यं ब्रवीति।|Your mother is speaking the truth.|तुम्हारी माँ सत्य बोल रही है।
स मुनिः विहगो भूत्वा उद्गतः।|That sage, having become a bird, flew up.|वह मुनि पक्षी बनकर उड़ गया।
