ईशाधीनं मम मनः भवतु।|May my mind be subservient to God.|मेरा मन भगवान् के अधीन हो।
व्याधहतं हरिणं दृष्वा सा खिद्यते।|She is sad after seeing the deer slain by the hunter.|व्याध द्वारा मारा गए हिरण को देखकर वह दुखी होती है।
कस्य देवस्य स्तोत्रमिदम्।|This is the hymn of which god?|यह किस देवता का स्तोत्र है। 
गृहे ज्येष्ठानाम् उपेक्षा न भवतु।|Let there be no neglect of elders at home.|घर में बड़ों की उपेक्षा न हो।
वज्रसदृशीं कठोरां प्रतिज्ञाम् अकरोत् सः।|He made a vow, as hard as  a diamond.|उसने वज्र के समान कठोर प्रतिज्ञा की।
प्रकोष्ठात् बहिः तिष्ठ।|Stand outside the chamber.|कक्ष से बाहर खड़े रहो।
तेन कटुवचनानि उक्तानि मां प्रति।|He spoke harsh words to me.|उसने मेरे प्रति कटु वचन कहे।
कौरवाणां महती हानिः अभवत् युद्धे।|There was great loss to Kauravas in the war.|कौरवों को युद्ध में बड़ी हानि हुई।
मित्रवाग्बाणैः आहता सा।|She was hurt by the sharp words of a friend.|वह मित्र के तीखे वचनों से आहत हुई।
स्वसामर्थ्यं जानीहि।|Know your own strength.|अपने सामर्थ्य को जानो।
तव दुरवस्था कथं जाता।|How did your miserable condition happen?|तेरी दुरावस्था कैसे हुई। 
अजय्यां शक्तिं देहि मे ईश।|Hey Lord! give me unconquerable strength.|हे ईश्वर मुझे अजय शक्ति दो।
अन्तः सदा देशभक्तिः स्फुरतु।|May patriotism manifest within always.|अंदर सदा देशभक्ति स्पंदित हो।
वैष्णवानां प्रियमिदं मन्दिरम्।|This temple is dear to the Vaishnavas.|यह मंदिर वैष्णवों को प्रिय है।
सुजनेभ्यः नमः।|Salutations to the good people.|सज्जनों को नमस्कार।
सदा स्मरेत् गुरुशिक्षाम्।|One should always remember the teacher's instruction.|गुरु की शिक्षा को सदा स्मरण करना चाहिए।
केषां नामानि अनुक्तानि।|Whose names have not been mentioned?|किनके नाम नहीं कहे गए हैं। 
उद्ध्वस्तरिपवः ते सैनिकाः।|Those are the soldiers who have vanquished the enemies.|उन सैनिकों ने शत्रुओं को पराजित किया है।
सुहितकरमेव वक्ति सदा तातः।|Father always speaks only that which is beneficial.|पिता सदा हितकारी ही बोलते हैं।
महापुरुषाः ध्येयाः नित्यम्।Great men should always be meditated upon.|महापुरुषों का नित्य ध्यान करना चाहिए।
