Sanskrit|English|Hindi
परिखया रक्षितः एष प्रासादः।|This palace is protected by moat.|यह महल परिखा द्वारा सुरक्षित है।
हरिः वा श्वा वा बिडालो वा विद्येत।|There may be a monkey, a dog, or a cat.|यहाँ बन्दर कुत्ता अथवा बिल्ली हो सकती है।
संततम् (प्रसारितम्) आच्छादकं सङ्कुचति सः।|He folds the covering that is spread.|वह प्रसारित आवरण को संकुचित करता है।
उग्रधन्विभिः एकाकी युध्यते लक्ष्मणः।|Lakshmana fights against fierce archers alone.|लक्ष्मण उग्र धनुर्धरों से अकेला लड़़ता है।
अट्टालिकाः नैके सन्ति नगरेऽस्मिन्।|There are many palaces in this town.|इस नगर में कई अट्टालिकाएँ हैं।
आकाशगः चित्रपतङ्गः बहुवर्णीयः वर्तते।|Butterfly that flies in the sky is colourful.|आकाश में उड़ने वाली तितली रंग बिरंगी है।
गुप्तः अयं देशः सैनिकैः।|This region is guarded or protected by soldiers.| यह क्षेत्र सैनिकों द्वारा सुरक्षित है।
चरित्रसमन्विताः एव पूज्याः भवन्ति।|Only those endowed with good character are worthy of being worshipped.|केवल अच्छे चरित्र वाले लोग ही पूज्य होते हैं।
उपगूढानि पक्षिण्या अपत्यानि पक्षयोः।|The chicks were hidden by the bird under the wings .|पक्षी के द्वारा पंखों के नीचे बच्चे छिपा लिए गए।
पुष्पमिदम् अभिजातमस्ति।|This flower is beautiful.|यह फूल सुन्दर है।
पर्यावरणहितङ्कराणां सङ्गोष्ठ्येषा।|This is a conference for those working for the benefit of the environment.|यह पर्यावरण के हित में कार्य करने वालों का सम्मेलन है।
सव्येन हस्तेन अगृह्णात् कन्दुकम्।|He caught the ball with his left hand.| उसने बाएं हाथ से गेंद पकड़ी।
रात्रौ कुतः निःस्वनमायाति नूपुराणाम्।|At night, where is the sound of anklets coming from?|रात्रि में पायल की ध्वनि कहाँ से आ रही है। 
भीमक्ष्वेडितं श्रुत्वा सर्वे पलायन्ते।|Hearing Bheema's terrifying roar, everyone flees.|भीम की गर्जना सुनकर सभी भाग जाते हैं।
स्वाध्यायनिरताः भवेम।|We should be engaged in self-study.|हमें स्वाध्याय में लगे रहना चाहिए।
चिकित्सकगणः राजमार्गं समावृत्य आन्दोलनं करोति।|The group of doctors is protesting by blocking the national highway.|चिकित्सकों का समूह राजमार्ग को अवरुद्ध कर आंदोलन कर रहा है।
मुद्गरसाहाय्येन करोति व्यायामं मल्लः।|The wrestler exercises with the help of a club.|मल्ल मुद्गर की सहायता से व्यायाम करता है।
लम्बोदरस्य पूजां करोमि।|I perform puja to Lord Ganesha.|मैं गणेश जी की पूजा करता हूँ।
राक्षसकायवृद्धिं दृष्ट्वापि रामः न व्यथितः।|Seeing the growth of the demon's body, Rama was not distressed.|राक्षस के बढते हुए शरीर को देखकर भी राम क्लेशान्वित नहीं हुए।
बालाः सर्वविषयेषु कौतुहलं प्रदर्शयन्ति।|Children show curiosity in all matters.|बच्चे सभी विषयों में जिज्ञासा दिखाते हैं।
वीतमोहः एव जनः मोक्षम् अवाप्नोति।|Only the one who is free from delusion attains liberation.|केवल मोहमुक्त ही मोक्ष को प्राप्त करता है।
कंसवीर्यहरः कृष्णः नवनीतम् इच्छति।|Krishna, the slayer of Kansa, desires fresh butter.|कंस का संहारक कृष्ण नवनीत चाहता है।
चारुवदनः कुशः बाणान् सम्यक् चालयति।|The beautiful-faced archer kusha skillfully wields arrows.|सुंदर मुख वाला धनुर्धर कुश बाणों को कुशलता से चलाता है।
