Sanskrit|English|Hindi
यः सुरैः अपि अभीप्सितार्थ-सिद्ध्यर्थम् सर्वविघ्नहरः तस्मै गणाधिपतये नमः।|Who is worshiped by even the Devas for the fulfillment of their desired objectives, Obeisance to that lord of the Ganas who destroys all obstacles.|जिनको देवगण भी इच्छापूर्ति हेतु पूजते हैं उन विघ्न के हरने वाले गणाधिपति को नमन।
सर्वस्य स्वभावाः हि परीक्ष्यन्ते।|Everyone is tested by their nature.|हर किसी की परख उसके स्वभाव से होती है।
इतरे गुणाः न हि परीक्ष्यन्ते।|Other qualities do not assess one.|दूसरे गुण किसी को नहीं बखानते हैं।
सर्वान् गुणान् अतीत्य स्वभावः मूर्ध्नि वर्तते।|Transcending all qualities, nature is at the top.|सभी गुणों से परे स्वभाव सर्वोपरि है।
नववधूः गवाक्षेण परिपश्यति।|The new bride looks around through window.|नई दुल्हन खिड़की से सब ओर देखती है।
अहं स्वसारम् आह्वयामि।|I call sister.|मैं बहन को बुलाता हूँ।
तस्य पिता दण्डं धृत्वा चलति।|His father walks holding a stick.|उसके पिता लाठी पकड़कर चलते हैं।
वृद्धस्य नाम जगन्नाथशास्त्री अस्ति।|The old man's name is Jagannath Shastri.|बुजुर्ग का नाम जगन्नाथ शास्त्री है।
कस्य नाम प्रभाकरः अत्र।|Whose name is Prabhakar here?|यहाँ किसका नाम प्रभाकर है?
म भार्य्या शाकान् क्षिपति।|My wife throws vegetables.|मेरी पत्नी सब्जियाँ फेंकती है।
किमर्थं कुक्कुटः न उड्डयते।|Why doesn't the cock fly?|मुर्गा क्यों नहीं उड़ता है?
तव चिन्तने दोषः अस्ति।|There is a fault in your thinking.|तुम्हारे विचार में दोष है।
पितः अहं न जानामि तम्।|Father, I don't know him.|पिताजी मैं उसे नहीं जानती।
तत्र वनचराः रमन्ते।|There, the forest dwellers roam.|वहाँ, वनवासी घूमते हैं।
