Sanskrit|English|Hindi
बुद्धिमता जनेन पापिजनानां पापस्य चर्चा न करणीया।|The sins of sinners should not be discussed.|पापियों के पाप की चर्चा नहीं करनी चाहिए।
तथैव अपापिनं पापवन्तम् इति न वक्तव्यं यतो हि तेन एकं तु तस्य पापिनः पापाः अस्मासु आयान्ति तथैव मिथ्या भाषणस्यापि पापः आपतति।|Similarly, one who is sinless should not be accused of being a sinner, because by doing so, he becomes guilty of two faults by being guilty of the same sinner's sin and the fault of speaking falsely.|न पाप रहित पर पापी होने का आरोप लगाना चाहिए, क्योंकि ऐसा करने से वह उसी पापी के पाप के दोष तथा मिथ्याभिभाषण दोष से युक्त होकर दो दोषों का भागी हो जाता है।
प्रतिदिनं वाक्यानि लिखन्तु सर्वे।|Everyone write sentences every day.|सब लोग प्रतिदिन वाक्य लिखें।
अभ्यासेन ज्ञानं दृढत्वं समधिगच्छति।|Through practice, knowledge gains stability.|अभ्यास से ज्ञान को दृढता मिलती है।
बहुजनाः वाक्यानि पठित्वा तुष्यन्ति।|Many people feel satisfied after reading sentences.|बहुत से लोग वाक्य पढ़कर संतुष्ट होते हैं।
केचन जनाः उद्याने भ्रमन्ति।|Some people wander in the park.|कुछ लोग उद्यान में घूमते हैं।
एकः बालकः धूम्रं पिबति।|One boy is smoking.|एक लड़का धूम्रपान करता है।
क्षणिकसुखं कालान्तरे करालं रोगं ददाति।|Temporary pleasure leads to severe illness later.|अस्थायी सुख बाद में गंभीर रोग देता है।
खं गच्छति यः सः खगः कथ्यते।|One who goes in the sky is called a bird.|जो आसमान से जाता है उसे पंछी कहते हैं।
माता गच्छन्तं बालकं विलोकयति।|The mother sees the boy going.|माँ जाते हुए बच्चे को देखती हैं।
तस्य तनुः बुभुक्षया अशुष्यत्।|His body dried up due to hunger.|उसका शरीर भूख से सूख गया।
प्रजापालनम् एव राजधर्मः वर्तते।|Nourishing the public is the raj dharma.|प्रजा का पालन करना ही राजाधर्म है।
