Sanskrit|English|Hindi
व्यादितास्यः|open-mouthed|मुंह बाये हुए
श्वेतवर्माम्बरोष्णीषः|One whose armour , dress and headgear are white.|
समाश्वसिहि सैन्धव||जयद्रथ तुम धीरज धरो
पीतः असिः|Polished sword|
क्वेदानीं स धनंजयः।||अब कहां है वह धनंजय।
कथम् उपदधानि पर्यङ्केऽस्मिन्।|How should I lay down on this bed?|इस पलंग पर इसे कैसे लेटूं। 
शैत्येन प्रावेपत सः।|He shivered due to cold.|वह ठंड के कारण कांप उठा।
सः स्वकक्षं मार्ष्टि।|He cleans his room.|वह अपना कमरा साफ करता है।
विस्रावितं तैलं तेन सोपानेषु।|Oil was spilt by him on the stairs.|उसने सीढ़ियों पर तेल स्रावित किया।
मातुः विप्रियं नाचरेत्।|One should not act against the wish of the mother.|माता की इच्छा के विपरीत कार्य नहीं करना चाहिए।
सेनया शत्रवः पराभूताः।|The enemies were defeated by the army.|सेना द्वारा शत्रु पराजित किए गए।
क्रोधस्य वश्यः न भव।|Do not be in control of anger.|अपने क्रोध के नियंत्रण में न रहो।
सन्नियच्छ आत्मानं सन्नियमेषु।|Discipline yourself with good restraints.|अच्छे नियमों से स्वयं को नियंत्रित करो।
अनुक्रोशः भवतु जीवमात्रे।|May there be compassion for all living beings.|सभी जीवों के प्रति करुणा होनी चाहिए।
अद्यत्वे प्रव्रजने इच्छा अधिका।|Nowadays there is a great desire to travel abroad.|आजकल विदेश धूमने की इच्छा अधिक है।
दारुणः प्राणदण्डः दातव्यः देशविरोधिने।|Severe death penalty should be given to the traitor of the nation.|देशद्रोही को कठोर प्राणदण्ड दिया जाना चाहिए।
षट् सूदाः मिलित्वा भोजनं निर्मान्ति।|Six cooks together prepare the meal.|छह रसोइए मिलकर भोजन तैयार करते हैं।
शुनकैः निराश्रितः शवः छिन्नः।|The unsheltered corpse was torn apart by dogs.|कुत्तों ने निराश्रित शव को चीर दिया।
ईशस्य साकाररूपम् उपास्महे।|We worship the tangible form of God.|हम ईश्वर के साकार रूप की उपासना करते हैं।
सम्प्रमथ्य भूम्याः रत्नानि निष्कास्यन्ते।|Gems are extracted from the earth by mining.|भूमि को खनन  करके रत्न निकाले जाते हैं।
मयि तु विश्वसिहि।|Trust me atleast.|मुझ पर तो विश्वास करो।
अगुरुः वृक्षः एषः।|This is an agarwood tree.|यह अगर का वृक्ष है।
सुविग्रहाधेनुः कियती मनोहारी वर्तते।|How enchanting is the well-shaped cow!|सुडौल गाय कितनी मनोहारी लगती है। 
अस्याः स्रोतस्विन्याः नाम किम्।|What is the name of this river?|इस नदी का नाम क्या है। 
शुभदशना प्रतिदिनं दन्तधावनं कुरु।|O blessed-toothed one, brush your teeth daily.|हे शुभदंती प्रतिदिन दांत साफ करो।
रामः विद्यालयम् अगच्छत्/गतवान्।||
रामेण विद्यालयः अगम्यत/गतः।||
बालकाः क्षीरम् अपिबन्/पीतवन्तः।||
बालकैः क्षीरम् अपीयत/पीतम्।||
वयं बहून् ग्रामान् अपश्याम/दृष्टवन्तः।||
अस्माभिः बहवः ग्रामाः अदृश्यन्त/दृष्टाः।||
एषः विद्यार्थी फलानि अखादयत्/खादितवान्।||
अनेन विद्यार्थिना फलानि अखाद्यन्त/खादितानि।||
आरक्षकाः ग्रामान् अरक्षन्/रक्षितवन्तः।||
