Sanskrit|English|Hindi  
आवां कुत्र प्राप्तौ। | Where have we (two) reached? | हम दोनों कहाँ पहुँच गए।  
आर्यं विना मे निद्रा न लभते। | Without Arya (husband), sleep is not obtained by me. | आर्य (पति) के बिना मुझे नींद नहीं आती।  
स्त्रीजीवनम् अङ्गारपथं भगिनि। | A woman's life is a path of embers, O sister! | स्त्री का जीवन अंगारों का पथ है, बहिन।  
पुनः ह्यः इव ताडयिष्यामि। | I will beat (you) again like yesterday. | पुनः कल की भाँति मारूँगी।  
गत्वा अतिथिं सत्कुरु। | Go and honor the guest. | जाकर अतिथि का सत्कार करो।  
तात सत्यं वद किं खलु अनृतमिदम्। | Sir! speak the truth, This is a lie, isn't it? | तात, सत्य कहो, यह झूठ है, है न?  
अहं त्वां किं मन्ये स्म तथा त्वं किमसि। | What I used to think of you, and what you are. | मैं तुम्हें क्या मानता था और तुम क्या हो।  
माया निशाचरी कथ्यते। | Maya is called a night-wanderer. | माया निशाचरी कही जाती है।  
किमर्थं न स्वपिम्यहम्। | Why do I not sleep? | मैं किसलिए नहीं सोता हूँ।  
लघुबालकान् अपि न त्यजसि क्रूरे। | O cruel one, you do not spare even small children. | हे क्रूर स्त्री, तुम छोटे बालकों को भी नहीं छोड़ती।
वीरः पाकिस्थानं गन्तुम् इच्छति।|Veera wishes to go to Pakistan.|वीर पाकिस्तान जाने की इच्छा करता है।
सा कुतः आगता तात।|From where has she come, sir?|वह कहाँ से आई है, तात?
अधुना नरेषु को माम् उद्वहेत्।|Now among men, who would marry me?|अब नरों में कौन है (जो) मुझसे विवाह करे।
शिक्षिके क्रोधो न सदाचारः।|Mam! anger is not good conduct.|शिक्षिकाजी, क्रोध सदाचार नहीं है।
तिष्ठतो मे न तां स्पर्ष्टुम् अपि शक्नुथ।|While I stand (am present), you (plural) cannot even touch her.|मेरे रहते हुए तुम सब उसे (स्त्री॰) छू भी नहीं सकते।
स त्वत्तो वयसा अतिरिच्यते।|He exceeds you by age.|वह तुमसे आयु में बड़ा है।
न गुरुः स वै शिक्षणव्यापारी।|He is not a Guru, indeed he is a merchant of teaching.|वह गुरु नहीं, वह तो शिक्षण का व्यापारी है।
कैलाशे कस्य वासः कथ्यते।|Whose residence is said to be on Kailasa?|कैलास पर किसका वास कहा जाता है।
जानामि यत् त्वम् अधिवक्तुः पुत्री असि।|I know that you are the daughter of an advocate.|जानता हूँ कि तुम अधिवक्ता की बेटी हो।
धनं दत्त्वा यथामति प्रवक्तुमर्हसि।|Having given money, you may speak according to your opinion.|धन देकर तुम (अपनी) मति के अनुसार बोल सकते हो।
एष एव आवयोः जामाता भविष्यति।|This one will be the son-in-law of us two.|यही हम दोनों का दामाद होगा।  
एतौ राहुकेतू कौ।|Who are these two, Rahu and Ketu?|ये राहु और केतु कौन हैं।  
भोः पथिक मा मदिरालयो गम्यताम्।|O traveler, don't go to the bar.|हे पथिक, मदिरालय न जाया जाए।  
सत्यं सत्ययुगे गत्वा वद रे।|Speak the truth after going to the age of the truth, hey you!|सत्ययुग में जाकर सत्य बोलो, रे!  
तस्याः सखा तस्या उपपतिरस्ति।|Her friend is her paramour.|उसका सखा उसका जार है।  
अहं लङ्कातः प्रत्यागन्तुं न शक्तः।|I am not capable to return from Lanka.|मैं लंका से लौटने में समर्थ नहीं हूँ।  
गच्छाम्यहं भोः प्राणनाथ।|I am going, O lord of life.|मैं जा रही हूँ, हे प्राणनाथ।  
मम पुत्रं त्यक्त्वा मां नयस्व।|Abandoning my son, take me.|मेरे बेटे को छोड़कर मुझे ले जा।  
अधुना वयं स्त्रियः पुरुषान् पीडयिष्यामः।|Now we women will torment the men.|अब हम स्त्रियाँ पुरुषों को पीड़ा देंगी।  
भो भगिनि मास्तु किमपि भयम्।|O sister, let there not be any fear.|हे बहन, कोई भी भय न हो।
कुक्कुर इव मा आचर।|Do not behave like a dog.|कुत्ते की तरह आचरण मत करो।
जिनधर्मस्य कति तीर्थङ्कराः।|How many Tirthankaras of Jainism are there?|जैनधर्म के कितने तीर्थंकर हैं।
स्त्रीणां प्रसङ्गः सुखानां भङ्गः।|Association of (with) women is the interruption of happiness.|स्त्रियों का संग सुखों का भंग है।
कस्य विवाहः तद्दिवसे।|Whose marriage is on that day?|उस दिन किसका विवाह है।
मम बालकोऽसि त्वम्।|You are my child.|मेरा बच्चा है तू।
सा चिकित्सिका भवितुम् इच्छति।|She wishes to become a doctor.|वह चिकित्सिका बनना चाहती है।
तस्य कान्ता शीतले क्षेत्रे निवसति।|His girlfriend resides in a cold region.|उसकी प्रियतमा शीतल क्षेत्र में निवास करती है।
सा तं विकल्पत्वेन प्रसीदति।|She pleases him as an option.|वह उसे विकल्प के रूप में प्रसन्न करती है।
सुन्दरि तुभ्यं जरा प्रतीक्षते।|O beautiful one, old age waits for you.|हे सुंदरी, तुम्हारे लिए बुढ़ापा प्रतीक्षा करता है।
एतत् सर्व्वम् एव करिष्यसि त्वं सदा।|You will always do all this only.|तुम सदा यह सब ही करोगे।
तव नाम श्रुत्वैव अवागमम्।|Hearing your name itself, I understood.|तुम्हारा नाम सुनकर ही मैं समझ गया।
अर्ज्जुनः पादकन्दुकक्षेत्त्रे स्पर्धते।|Arjuna competes in the football field.|अर्जुन फुटबॉल के मैदान में स्पर्धा करता है।
स युवकः कियान् दीर्घः सखि।|How tall is that young man, O friend!|वह युवक कितना लंबा है सखी।
