Sanskrit|English|Hindi  
किं मार्गे जीर्णानि वस्त्राणि न सन्ति?|Are there no torn rags lying in the way to wear?|क्या पहनने के लिए रास्ते में फटे-पुराने चीथड़े नहीं पड़े हैं?
किं परोपकारिभिः वृक्षैः फलादिकं न भिक्ष्यते?|Do the nourishing trees not provide for fruit in forms alms?|क्या दूसरों के पोषक वृक्ष खाने के लिए फल रूप भीख नहीं देते हैं?
किं नदयः अपि शोषिताः?|Have the rivers also dried up?|क्या नदियाँ भी सूख गयी हैं?
किं गुहाः अपि रुद्धाः सन्ति?|Are the caves closed?|क्या गुफायें बन्द कर दी गयी हैं?
किं श्रीहरिः शरणागतान् न रक्षन्ति?|And doesn’t Lord Sri Hari protect the surrendered ones?|तथा क्या भगवान् श्रीहरि शरणागत जनों की रक्षा नहीं करते हैं?
एवं नास्ति चेत् किमर्थं विद्वांसः धनस्य मदे अन्धान् भजन्ति?|Then why do the learned flatter the wealthy blind in the pride?|फिर क्यों विद्वान् लोग धन के घमण्ड में अन्धे लोगों की चापलूसी करते हैं?
गङ्गां नमामि।|I bow to the river Ganga.|मैं गंगा को प्रणाम करता हूँ।
तरुणी वरं वृणोति।|The young maiden chooses a groom.|युवती एक दूल्हा वरती है।
नारायणः क्षीरे सागरे शेते।|Narayana lies on the ocean of milk.|नारायण क्षीरसागर पर शयन करते हैं।
तस्य पिता वंशीधरः वर्तते।|His father is VanshiDhara.|उसके पिता वंशीधर हैं।
अस्याः माता पाठशालायां पाठयति।|Her mother teaches at a school.|उसकी माँ स्कूल में पढ़ाती हैं।
त्वं मूढा असि।|You are foolish.|तुम मूर्ख हो।
तव गुरुः पाषण्डं करोति।|Your teacher commits heresy.|तुम्हारा गुरु धर्म विरोधी कार्य करता है।
वाजी क्षिप्रं धावति।|The horse runs swiftly.|घोड़ा तेज़ी से दौड़ता है।
तस्य कौशलं श्लाघ्यम् अस्ति।|His skill is praiseworthy.|उसकी कुशलता प्रशंसनीय है।
एषा कस्य लेखनी अस्ति।|Whose pen is this?|यह किसकी कलम है?
यः लोकम् चक्षुषा मनसा वाचा कर्मणा च चतुर्विधम् प्रसादयति,|The one who pleases the world with his eyes, mind, speech and actions,|जो नेत्र, मन, वाणी और कर्म इन चारों से संसार को प्रसन्न करता है,
लोकः तम् अनुप्रसीदति|That person is what makes the world happy.|उसी से संसार प्रसन्न रहता है।
एवं भवति जनसङ्ख्याविस्फोटः।|This is how population explosion happens.|ऐसा होता है जनसंख्या का विस्फोट।
